Name,Part Number,Stock Level,Minimum Stock Level,Unit Cost,Site ID,Category,Location,Status,Used By,Created By
Pro HDD,SP-49722,42,10,485.67,3,HDD,Cabinet 2 - Bottom,available,,5
Premium CPU,SP-96072,16,6,475.91,9,CPU,Cabinet 2 - Top,in_used,15,9
Premium DDR5 RAM,SP-65507,21,4,198.7,8,DDR5 RAM,Server Room - Rack 02,available,,1
Wired MOUSE,SP-39112,23,3,365.73,5,MOUSE,Rack B - Shelf 2,in_used,7,6
Premium M.2 SSD,SP-67669,5,2,395.66,6,M.2 SSD,Warehouse - Row 2,faulty,,2
Standard CABLE TRACER,SP-16080,9,2,352.07,10,CABLE TRACER,Drawer #2,faulty,,6
Premium DDR4 RAM,SP-87587,11,6,399.63,3,DDR4 RAM,Rack A - Shelf 1,available,,5
Standard DDR4 RAM,SP-15594,19,9,85.35,9,DDR4 RAM,Rack C - Shelf 2,in_used,8,4
2TB HDD STORAGE,SP-42173,31,5,277.39,4,STORAGE,Workshop Bench,in_used,16,4
Premium SATA CABLE,SP-95975,44,7,138.44,6,SATA CABLE,Drawer #1,faulty,,5
Premium CABLE TRACER,SP-35181,36,10,380.47,7,CABLE TRACER,Drawer #3,available,,7
Pro NETWORK CARD,SP-65834,5,4,453.89,10,NETWORK CARD,Cabinet 2 - Bottom,faulty,,3
2TB HDD STORAGE,SP-78818,37,4,425.51,9,STORAGE,Server Room - Rack 01,available,,6
Pro NETWORK CARD,SP-52747,47,4,335.06,2,NETWORK CARD,Cabinet 1 - Right,available,,8
Pro HDD,SP-29713,22,5,370.61,1,HDD,Cabinet 1 - Right,faulty,,4
Industrial SATA CABLE,SP-31576,48,7,104.77,2,SATA CABLE,Warehouse - Row 2,in_used,18,6
DDR5 16GB RAM,SP-63451,28,6,484.14,4,RAM,Workshop Bench,faulty,,7
Standard HDMI CABLE,SP-35138,3,9,170.62,8,HDMI CABLE,Rack A - Shelf 1,available,,7
Pro USB HUB,SP-17004,36,9,362.28,5,USB HUB,Drawer #1,faulty,,3
650W PSU,SP-72527,17,1,292.65,1,PSU,Rack B - Shelf 2,in_used,2,2
Standard USB HUB,SP-41886,23,4,431.1,7,USB HUB,Rack A - Shelf 3,in_used,4,9
Premium HEATSINK,SP-87764,46,7,268.78,4,HEATSINK,Cabinet 1 - Left,in_used,9,3
4TB HDD STORAGE,SP-93648,6,2,241.93,7,STORAGE,Warehouse - Row 2,available,,2
Unshielded RJ45,SP-47262,18,8,30.72,5,RJ45,Rack A - Shelf 1,faulty,,5
Premium DDR4 RAM,SP-89004,28,2,373.92,8,DDR4 RAM,Rack B - Shelf 2,in_used,5,5
Pro USB HUB,SP-86374,39,10,341.5,1,USB HUB,Rack B - Shelf 2,available,,1
Standard HDD,SP-16656,42,2,225.95,4,HDD,Rack C - Shelf 1,in_used,21,6
Industrial SSD,SP-73051,19,7,490.88,8,SSD,Cabinet 1 - Left,faulty,,3
Premium HDMI CABLE,SP-88320,0,8,2.67,7,HDMI CABLE,Drawer #1,faulty,,1
Standard CPU,SP-54039,40,6,106.82,2,CPU,Warehouse - Row 2,available,,1
Premium CPU,SP-29396,13,2,32.44,6,CPU,Rack A - Shelf 1,available,,10
DDR4 32GB RAM,SP-34277,31,7,396.12,7,RAM,Workshop Bench,faulty,,7
Cat6 3m CABLE,SP-78260,5,10,21.53,3,CABLE,Cabinet 2 - Bottom,faulty,,3
Pro M.2 SSD,SP-41960,45,1,168.72,4,M.2 SSD,Rack B - Shelf 2,available,,3
Mechanical KEYBOARD,SP-85429,24,3,332.08,8,KEYBOARD,Cabinet 2 - Top,available,,3
Industrial CABLE TRACER,SP-57318,18,6,334.59,1,CABLE TRACER,Rack B - Shelf 2,in_used,5,10
10g THERMAL PASTE,SP-22610,48,7,64.15,10,THERMAL PASTE,Warehouse - Row 2,faulty,,6
Pro HDMI CABLE,SP-39326,30,6,175.21,6,HDMI CABLE,Rack B - Shelf 1,in_used,5,5
24-inch MONITOR,SP-19723,42,2,349.09,2,MONITOR,Warehouse - Row 2,faulty,,4
Cat6 5m CABLE,SP-24249,42,9,255.51,10,CABLE,Server Room - Rack 01,available,,2
Premium HEATSINK,SP-61359,38,7,262.17,1,HEATSINK,Workshop Bench,available,,4
Standard SSD,SP-74911,14,6,485.91,5,SSD,Drawer #1,available,,9
Unshielded RJ45,SP-26466,38,2,262.7,3,RJ45,Drawer #3,available,,10
80mm FAN,SP-45788,4,4,31.18,7,FAN,Rack A - Shelf 2,in_used,6,4
650W PSU,SP-42447,25,8,19.51,1,PSU,Cabinet 1 - Left,available,,8
4TB HDD STORAGE,SP-71298,35,5,20.37,7,STORAGE,Server Room - Rack 02,available,,10
Industrial M.2 SSD,SP-30113,28,10,305.05,2,M.2 SSD,Workshop Bench,available,,6
Industrial CPU,SP-50207,27,7,90.39,9,CPU,Workshop Bench,in_used,6,10
Pass-through RJ45,SP-33050,10,8,147.03,2,RJ45,Server Room - Rack 02,available,,9
80mm FAN,SP-40233,14,4,340.9,9,FAN,Drawer #2,available,,9
Pro DDR4 RAM,SP-16328,44,4,114.31,8,DDR4 RAM,Warehouse - Row 1,faulty,,9
Standard DDR4 RAM,SP-39298,31,6,232.14,3,DDR4 RAM,Rack A - Shelf 1,available,,6
Pro CPU,SP-97966,48,5,259.51,10,CPU,Warehouse - Row 2,faulty,,2
Premium POWER CABLE,SP-64959,26,7,204.72,10,POWER CABLE,Warehouse - Row 1,available,,4
Standard NETWORK CARD,SP-17425,38,7,70.22,5,NETWORK CARD,Storage Closet A,faulty,,3
Wireless MOUSE,SP-73768,0,2,187.01,5,MOUSE,Cabinet 2 - Top,available,,1
Pro HDMI CABLE,SP-32269,38,10,66.44,5,HDMI CABLE,Cabinet 2 - Bottom,in_used,15,8
Standard GPU,SP-56730,23,7,68.05,5,GPU,Drawer #1,faulty,,5
Mechanical KEYBOARD,SP-75126,14,6,196.11,2,KEYBOARD,Rack A - Shelf 2,in_used,12,2
Premium POWER CABLE,SP-67014,13,6,179.97,9,POWER CABLE,Cabinet 2 - Top,available,,2
750W PSU,SP-21843,36,7,115.63,1,PSU,Workshop Bench,available,,2
Premium NETWORK CARD,SP-76382,35,2,451.65,3,NETWORK CARD,Storage Closet A,available,,3
Industrial POWER CABLE,SP-13275,44,1,369.76,4,POWER CABLE,Warehouse - Row 2,available,,9
512GB SSD STORAGE,SP-98017,35,10,155.19,10,STORAGE,Storage Closet A,in_used,17,10
Premium SSD,SP-18205,46,5,482.9,3,SSD,Cabinet 2 - Bottom,available,,3
750W PSU,SP-15619,48,7,199.18,9,PSU,Cabinet 1 - Right,available,,3
Premium DDR5 RAM,SP-44227,42,2,445.95,8,DDR5 RAM,Cabinet 2 - Bottom,available,,5
Premium HDMI CABLE,SP-46247,49,8,4.28,10,HDMI CABLE,Drawer #2,in_used,6,5
Industrial CABLE TRACER,SP-73868,31,2,309.36,2,CABLE TRACER,Drawer #1,available,,5
Pass-through RJ45,SP-22591,32,6,92.51,8,RJ45,Rack C - Shelf 2,available,,4
4TB HDD STORAGE,SP-29909,16,5,440.92,5,STORAGE,Drawer #1,faulty,,3
Pro M.2 SSD,SP-77317,31,1,426.57,9,M.2 SSD,Cabinet 1 - Right,faulty,,5
Cat6 5m CABLE,SP-83075,27,5,221.9,6,CABLE,Rack C - Shelf 1,faulty,,3
Pro CABLE TRACER,SP-53252,37,6,396.04,6,CABLE TRACER,Rack C - Shelf 1,faulty,,8
Cat6 3m CABLE,SP-23789,2,9,255.49,1,CABLE,Rack B - Shelf 2,available,,2
Pro SATA CABLE,SP-44745,20,9,201.89,1,SATA CABLE,Warehouse - Row 2,available,,1
Wireless MOUSE,SP-48303,39,1,408.8,6,MOUSE,Cabinet 1 - Right,faulty,,7
Standard CPU,SP-20151,0,5,143.64,10,CPU,Rack C - Shelf 2,in_used,3,7
Pro CPU,SP-53797,11,1,226.54,7,CPU,Drawer #3,available,,5
Standard USB HUB,SP-71414,46,8,20.63,4,USB HUB,Cabinet 1 - Left,available,,9
Industrial SATA CABLE,SP-80897,13,9,58.58,8,SATA CABLE,Rack A - Shelf 2,available,,1
Industrial CABLE TRACER,SP-11585,43,5,150.39,1,CABLE TRACER,Drawer #3,available,,3
22-inch MONITOR,SP-30654,4,8,469.48,6,MONITOR,Rack B - Shelf 1,faulty,,1
10g THERMAL PASTE,SP-40450,12,4,222.9,6,THERMAL PASTE,Rack C - Shelf 1,available,,6
Industrial USB HUB,SP-82195,4,5,210.1,6,USB HUB,Rack B - Shelf 2,faulty,,1
Premium CPU,SP-57320,21,7,177.08,2,CPU,Rack B - Shelf 2,available,,6
Standard HDMI CABLE,SP-15687,14,9,128.2,3,HDMI CABLE,Rack A - Shelf 2,available,,10
Industrial HDD,SP-66283,15,2,224.37,10,HDD,Rack B - Shelf 2,available,,1
Premium HEATSINK,SP-39757,2,6,366.67,5,HEATSINK,Rack A - Shelf 2,faulty,,2
Pro CABLE TRACER,SP-26863,25,3,376.39,8,CABLE TRACER,Rack C - Shelf 1,available,,1
Pass-through RJ45,SP-47538,31,7,463.56,6,RJ45,Server Room - Rack 01,available,,10
Pass-through RJ45,SP-20320,20,8,442.37,3,RJ45,Rack C - Shelf 1,available,,2
Wired MOUSE,SP-76289,9,2,215.52,10,MOUSE,Cabinet 2 - Bottom,in_used,19,3
Pro HDMI CABLE,SP-85884,50,9,35.2,4,HDMI CABLE,Drawer #3,faulty,,1
2TB HDD STORAGE,SP-24181,11,6,177.32,10,STORAGE,Cabinet 1 - Left,faulty,,6
Premium SATA CABLE,SP-26586,48,6,181.02,5,SATA CABLE,Rack B - Shelf 2,available,,3
Cat6 3m CABLE,SP-18979,8,10,302.38,4,CABLE,Rack B - Shelf 2,available,,7
DDR4 16GB RAM,SP-95638,44,9,404.05,1,RAM,Server Room - Rack 02,available,,3
Standard CPU,SP-67003,16,5,485.87,5,CPU,Rack A - Shelf 2,in_used,7,10
DDR5 16GB RAM,SP-74382,20,8,331.56,4,RAM,Warehouse - Row 2,available,,9
Industrial DDR5 RAM,SP-36302,11,8,183.82,1,DDR5 RAM,Rack C - Shelf 1,available,,5
5g THERMAL PASTE,SP-75992,12,9,132.17,10,THERMAL PASTE,Warehouse - Row 1,faulty,,4
Membrane KEYBOARD,SP-38119,20,7,358.37,5,KEYBOARD,Rack C - Shelf 2,available,,5
27-inch MONITOR,SP-85382,1,3,484.78,5,MONITOR,Rack A - Shelf 2,available,,1
Standard SSD,SP-41491,7,9,58.06,9,SSD,Warehouse - Row 1,faulty,,8
24-inch MONITOR,SP-46429,13,3,339.37,4,MONITOR,Rack A - Shelf 2,available,,9
Industrial SATA CABLE,SP-17331,28,2,453.63,10,SATA CABLE,Workshop Bench,available,,1
Premium M.2 SSD,SP-77287,9,2,227.54,6,M.2 SSD,Cabinet 1 - Right,faulty,,8
Mechanical KEYBOARD,SP-96441,3,1,330.21,3,KEYBOARD,Rack B - Shelf 1,available,,8
Industrial DDR5 RAM,SP-25765,16,3,160.84,8,DDR5 RAM,Drawer #1,in_used,8,3
Pro POWER CABLE,SP-38155,34,7,332.64,5,POWER CABLE,Cabinet 2 - Top,faulty,,1
Premium SSD,SP-24761,22,7,426.92,6,SSD,Cabinet 2 - Bottom,available,,10
3g THERMAL PASTE,SP-20546,42,8,473.3,4,THERMAL PASTE,Rack C - Shelf 2,available,,1
120mm FAN,SP-85343,27,2,202.15,4,FAN,Drawer #1,available,,10
Pro MOTHERBOARD,SP-56595,49,5,361.83,10,MOTHERBOARD,Storage Closet A,available,,3
Unshielded RJ45,SP-37741,6,5,228.88,7,RJ45,Drawer #2,available,,4
Standard NETWORK CARD,SP-97727,29,9,437.17,6,NETWORK CARD,Server Room - Rack 02,available,,5
Pro CPU,SP-56144,42,3,99.07,1,CPU,Drawer #1,in_used,17,3
Cat5e 2m CABLE,SP-77280,13,10,453.77,6,CABLE,Drawer #3,available,,10
Industrial CABLE TRACER,SP-58805,5,3,417.95,1,CABLE TRACER,Cabinet 1 - Right,available,,10
Premium HEATSINK,SP-66342,8,8,141.92,9,HEATSINK,Rack B - Shelf 2,faulty,,4
Unshielded RJ45,SP-95731,15,2,263.62,3,RJ45,Rack C - Shelf 1,available,,1
650W PSU,SP-86754,8,3,247.68,8,PSU,Rack A - Shelf 1,available,,7
Unshielded RJ45,SP-88699,13,5,123.51,10,RJ45,Drawer #2,in_used,13,4
3g THERMAL PASTE,SP-68509,19,5,299.42,3,THERMAL PASTE,Rack B - Shelf 2,available,,2
Standard HEATSINK,SP-86236,40,1,366.14,9,HEATSINK,Server Room - Rack 01,available,,7
24-inch MONITOR,SP-97205,42,1,397.11,2,MONITOR,Cabinet 2 - Bottom,available,,5
Premium MOTHERBOARD,SP-30658,24,10,164.51,1,MOTHERBOARD,Rack A - Shelf 2,faulty,,1
Gaming MOUSE,SP-86791,24,6,306.28,7,MOUSE,Server Room - Rack 01,in_used,3,5
Industrial SSD,SP-73302,27,5,446.18,2,SSD,Warehouse - Row 1,available,,9
120mm FAN,SP-70569,50,5,484.25,3,FAN,Drawer #2,available,,8
3g THERMAL PASTE,SP-91622,46,9,45.63,4,THERMAL PASTE,Server Room - Rack 01,available,,7
500W PSU,SP-19548,39,9,479.13,1,PSU,Rack A - Shelf 1,in_used,3,5
DDR4 8GB RAM,SP-31129,37,7,368.16,3,RAM,Rack B - Shelf 1,available,,8
Industrial GPU,SP-22433,41,1,89.53,3,GPU,Rack B - Shelf 2,available,,2
24-inch MONITOR,SP-42608,25,9,233.59,7,MONITOR,Server Room - Rack 01,available,,4
27-inch MONITOR,SP-56764,28,3,44.22,3,MONITOR,Server Room - Rack 02,available,,9
Industrial SSD,SP-38690,3,7,112.96,9,SSD,Drawer #1,available,,9
Pro CPU,SP-54461,48,7,323.29,4,CPU,Cabinet 1 - Right,available,,6
22-inch MONITOR,SP-42039,5,8,245.76,4,MONITOR,Server Room - Rack 01,available,,1
Industrial DDR5 RAM,SP-70936,36,2,499.27,4,DDR5 RAM,Drawer #3,in_used,12,4
Standard DDR4 RAM,SP-88592,32,1,234.75,9,DDR4 RAM,Server Room - Rack 01,available,,6
Membrane KEYBOARD,SP-29241,5,1,47.26,5,KEYBOARD,Rack C - Shelf 2,faulty,,8
22-inch MONITOR,SP-44888,21,9,372.27,1,MONITOR,Cabinet 2 - Top,in_used,9,2
2TB HDD STORAGE,SP-37431,22,3,229.33,8,STORAGE,Cabinet 1 - Right,available,,2
Cat6 5m CABLE,SP-97913,20,8,105.85,2,CABLE,Server Room - Rack 01,available,,4
Fiber 5m CABLE,SP-98571,0,3,341.36,2,CABLE,Drawer #1,in_used,12,10
Industrial SSD,SP-29200,25,7,14.45,3,SSD,Drawer #1,faulty,,8
Premium POWER CABLE,SP-86618,42,4,114.34,7,POWER CABLE,Drawer #2,available,,4
850W PSU,SP-72476,14,10,385.23,1,PSU,Cabinet 2 - Bottom,available,,3
Standard DDR5 RAM,SP-16478,35,7,331.11,9,DDR5 RAM,Rack A - Shelf 2,available,,10
3g THERMAL PASTE,SP-63640,40,6,234.21,1,THERMAL PASTE,Cabinet 2 - Top,in_used,18,8
Premium SSD,SP-44771,0,8,236.04,8,SSD,Cabinet 2 - Top,in_used,13,2
Industrial GPU,SP-89371,10,5,87.45,4,GPU,Drawer #2,available,,10
Pro USB HUB,SP-62086,30,6,340.13,3,USB HUB,Drawer #2,in_used,9,2
DDR4 16GB RAM,SP-48746,38,5,305.63,7,RAM,Rack A - Shelf 1,faulty,,10
Pro HEATSINK,SP-18607,19,7,439.79,10,HEATSINK,Warehouse - Row 1,in_used,18,10
Shielded RJ45,SP-18009,7,6,473.74,10,RJ45,Warehouse - Row 2,in_used,6,9
Standard NETWORK CARD,SP-22944,24,9,408.49,8,NETWORK CARD,Cabinet 2 - Bottom,in_used,15,2
Industrial CABLE TRACER,SP-19688,1,2,424.91,3,CABLE TRACER,Rack C - Shelf 2,available,,3
Pro SSD,SP-60754,10,4,294.99,2,SSD,Drawer #2,in_used,17,10
512GB SSD STORAGE,SP-78097,2,1,98.17,7,STORAGE,Warehouse - Row 2,in_used,7,3
Standard NETWORK CARD,SP-96964,15,5,108.06,3,NETWORK CARD,Cabinet 1 - Right,available,,3
80mm FAN,SP-87219,2,1,292.23,7,FAN,Rack A - Shelf 2,in_used,6,8
DDR4 32GB RAM,SP-40413,50,8,67.95,3,RAM,Storage Closet A,faulty,,9
Premium CPU,SP-61163,4,3,171.35,10,CPU,Warehouse - Row 1,available,,2
Industrial POWER CABLE,SP-44062,14,5,334.92,1,POWER CABLE,Rack A - Shelf 3,available,,8
27-inch MONITOR,SP-67989,4,6,357.07,5,MONITOR,Rack C - Shelf 1,available,,3
DDR4 16GB RAM,SP-87402,30,5,189.71,7,RAM,Server Room - Rack 02,in_used,14,6
Cat5e 2m CABLE,SP-13516,26,6,447.31,4,CABLE,Drawer #3,faulty,,2
Standard CPU,SP-66031,16,9,12.0,3,CPU,Rack C - Shelf 2,available,,4
Pro CABLE TRACER,SP-48032,14,7,68.08,3,CABLE TRACER,Storage Closet A,available,,8
500W PSU,SP-38224,37,8,492.61,6,PSU,Rack C - Shelf 1,available,,10
DDR5 16GB RAM,SP-98634,44,3,347.73,5,RAM,Rack C - Shelf 2,available,,8
Pro GPU,SP-22940,1,10,57.08,1,GPU,Drawer #3,available,,9
Pro GPU,SP-90295,19,6,164.63,4,GPU,Rack C - Shelf 2,available,,3
Membrane KEYBOARD,SP-58339,4,6,37.09,8,KEYBOARD,Cabinet 1 - Right,in_used,18,7
Standard M.2 SSD,SP-75267,35,4,495.64,9,M.2 SSD,Rack A - Shelf 3,available,,1
Standard USB HUB,SP-43810,21,1,60.53,7,USB HUB,Drawer #2,available,,5
Pro SATA CABLE,SP-71740,6,3,134.8,2,SATA CABLE,Storage Closet A,available,,10
Pro CABLE TRACER,SP-80630,3,7,37.31,5,CABLE TRACER,Drawer #1,available,,9
Premium HDD,SP-29319,36,8,224.58,2,HDD,Server Room - Rack 01,available,,9
Pro GPU,SP-72959,27,8,167.8,3,GPU,Rack B - Shelf 2,in_used,2,7
Pro GPU,SP-91502,45,3,346.81,3,GPU,Cabinet 2 - Top,available,,7
Industrial MOTHERBOARD,SP-12087,4,3,122.17,2,MOTHERBOARD,Drawer #3,available,,8
Standard USB HUB,SP-53221,35,8,96.21,9,USB HUB,Rack A - Shelf 2,faulty,,5
24-inch MONITOR,SP-18891,18,9,199.2,10,MONITOR,Drawer #1,available,,10
5g THERMAL PASTE,SP-67663,12,9,351.85,4,THERMAL PASTE,Rack A - Shelf 3,in_used,11,3
Premium DDR5 RAM,SP-94821,31,2,80.16,10,DDR5 RAM,Workshop Bench,available,,3
Standard SSD,SP-18834,47,2,99.46,3,SSD,Drawer #1,faulty,,7
Mechanical KEYBOARD,SP-54745,36,6,315.44,1,KEYBOARD,Cabinet 2 - Top,available,,2
Standard HDMI CABLE,SP-79730,4,2,470.01,1,HDMI CABLE,Rack C - Shelf 1,available,,5
Pro HEATSINK,SP-93520,14,7,206.92,3,HEATSINK,Rack B - Shelf 1,faulty,,10
Pro SSD,SP-81273,16,4,401.98,10,SSD,Storage Closet A,in_used,17,4
140mm FAN,SP-70023,47,8,435.32,6,FAN,Rack B - Shelf 2,available,,8
Industrial HEATSINK,SP-26351,15,8,122.14,5,HEATSINK,Rack B - Shelf 1,available,,7
Standard NETWORK CARD,SP-71338,11,10,205.6,7,NETWORK CARD,Drawer #2,faulty,,9
Standard CABLE TRACER,SP-18671,31,8,148.43,8,CABLE TRACER,Server Room - Rack 02,available,,2
Pro USB HUB,SP-92306,23,5,247.96,8,USB HUB,Drawer #1,in_used,12,7
Premium M.2 SSD,SP-85916,43,4,70.22,8,M.2 SSD,Warehouse - Row 2,available,,8
22-inch MONITOR,SP-72032,41,2,481.88,8,MONITOR,Rack B - Shelf 2,available,,2
Membrane KEYBOARD,SP-20723,23,5,114.17,3,KEYBOARD,Workshop Bench,available,,7
Premium DDR5 RAM,SP-97434,34,4,404.29,6,DDR5 RAM,Warehouse - Row 1,faulty,,10
Premium SATA CABLE,SP-60913,50,8,414.74,7,SATA CABLE,Warehouse - Row 2,faulty,,10
Pro SATA CABLE,SP-72126,25,7,326.8,4,SATA CABLE,Server Room - Rack 01,available,,9
Pro MOTHERBOARD,SP-32868,25,2,496.56,7,MOTHERBOARD,Server Room - Rack 02,in_used,7,1
Pro CABLE TRACER,SP-46639,35,10,16.51,10,CABLE TRACER,Drawer #2,in_used,10,9
Wireless KEYBOARD,SP-84476,21,6,297.51,9,KEYBOARD,Cabinet 2 - Top,in_used,12,3
850W PSU,SP-48513,10,4,150.18,5,PSU,Cabinet 2 - Bottom,in_used,10,10
27-inch MONITOR,SP-56996,44,9,221.02,9,MONITOR,Rack C - Shelf 1,available,,10
Industrial HDD,SP-53931,28,8,82.45,1,HDD,Cabinet 1 - Left,available,,5
Standard GPU,SP-59931,1,10,176.94,7,GPU,Server Room - Rack 01,available,,2
140mm FAN,SP-10476,33,4,414.14,1,FAN,Server Room - Rack 01,available,,4
Unshielded RJ45,SP-45626,33,1,485.81,4,RJ45,Cabinet 2 - Top,in_used,13,7
Pro HDD,SP-61703,43,2,94.78,5,HDD,Workshop Bench,faulty,,3
Premium DDR5 RAM,SP-58580,31,10,11.57,9,DDR5 RAM,Rack B - Shelf 2,available,,5
Premium CABLE TRACER,SP-72439,15,5,347.29,1,CABLE TRACER,Server Room - Rack 01,available,,3
120mm FAN,SP-68079,48,2,78.55,7,FAN,Storage Closet A,available,,2
Premium HEATSINK,SP-93327,12,4,436.03,8,HEATSINK,Workshop Bench,in_used,17,10
Pro CPU,SP-25304,44,5,343.86,5,CPU,Warehouse - Row 1,faulty,,1
Premium HDMI CABLE,SP-38956,31,6,472.6,7,HDMI CABLE,Workshop Bench,in_used,14,5
10g THERMAL PASTE,SP-62659,29,6,328.56,3,THERMAL PASTE,Rack A - Shelf 3,in_used,16,10
Shielded RJ45,SP-81832,27,9,302.75,9,RJ45,Rack A - Shelf 2,in_used,9,3
120mm FAN,SP-48986,4,8,105.03,9,FAN,Warehouse - Row 1,available,,3
Pro SSD,SP-87668,0,8,130.24,6,SSD,Warehouse - Row 2,available,,8
Premium GPU,SP-60685,36,1,499.13,9,GPU,Drawer #2,available,,8
22-inch MONITOR,SP-62060,29,1,441.06,8,MONITOR,Rack B - Shelf 1,available,,8
Premium M.2 SSD,SP-78398,8,7,256.49,7,M.2 SSD,Drawer #3,faulty,,5
Pro CABLE TRACER,SP-97053,36,1,428.26,10,CABLE TRACER,Server Room - Rack 02,available,,6
Premium MOTHERBOARD,SP-73886,25,4,459.17,2,MOTHERBOARD,Workshop Bench,available,,10
Standard POWER CABLE,SP-49510,14,3,353.34,5,POWER CABLE,Cabinet 2 - Top,available,,8
140mm FAN,SP-59242,3,6,145.84,4,FAN,Drawer #1,in_used,19,9
Membrane KEYBOARD,SP-60176,32,7,129.33,8,KEYBOARD,Server Room - Rack 01,faulty,,9
140mm FAN,SP-22354,14,8,479.09,9,FAN,Rack B - Shelf 2,available,,10
27-inch MONITOR,SP-70431,18,2,421.06,9,MONITOR,Rack A - Shelf 1,available,,10
27-inch MONITOR,SP-65371,43,2,277.06,4,MONITOR,Cabinet 1 - Right,faulty,,2
Standard DDR5 RAM,SP-30481,15,4,481.28,7,DDR5 RAM,Warehouse - Row 2,in_used,20,3
Industrial USB HUB,SP-69023,45,1,406.47,10,USB HUB,Warehouse - Row 2,faulty,,6
Pro HDD,SP-44149,37,7,188.13,4,HDD,Workshop Bench,available,,4
Standard GPU,SP-50151,36,6,285.2,6,GPU,Storage Closet A,available,,6
5g THERMAL PASTE,SP-43424,19,10,405.15,10,THERMAL PASTE,Cabinet 2 - Bottom,in_used,4,5
Unshielded RJ45,SP-95586,20,7,237.41,6,RJ45,Cabinet 2 - Bottom,available,,4
Premium SSD,SP-67739,7,4,110.08,8,SSD,Drawer #3,available,,10
22-inch MONITOR,SP-73833,42,4,64.67,3,MONITOR,Rack A - Shelf 1,available,,2
Industrial NETWORK CARD,SP-98184,1,3,305.62,10,NETWORK CARD,Storage Closet A,available,,4
120mm FAN,SP-50928,46,10,263.64,1,FAN,Rack C - Shelf 2,available,,2
Industrial SATA CABLE,SP-51809,49,4,380.58,10,SATA CABLE,Storage Closet A,available,,4
Industrial HEATSINK,SP-64034,15,8,411.44,1,HEATSINK,Rack A - Shelf 2,in_used,20,10
512GB SSD STORAGE,SP-40099,14,4,247.41,5,STORAGE,Workshop Bench,available,,4
27-inch MONITOR,SP-52963,33,9,97.11,4,MONITOR,Rack A - Shelf 2,in_used,16,10
Pass-through RJ45,SP-61611,33,6,133.54,5,RJ45,Drawer #3,available,,4
