Name,Part Number,Stock Level,Minimum Stock Level,Unit Cost,Site ID,Category,Location,Status,Used By,Created By
Pro CPU,SP-50651,29,4,479.03,2,CPU,Cabinet 1 - Left,available,,6
Industrial GPU,SP-12211,13,3,300.32,10,GPU,Server Room - Rack 02,in_used,5,4
Pro SATA CABLE,SP-51671,14,5,236.49,3,SATA CABLE,Rack A - Shelf 1,available,,1
850W PSU,SP-90609,33,7,417.69,3,PSU,Rack A - Shelf 1,available,,6
Standard DDR5 RAM,SP-38467,48,7,271.78,6,DDR5 RAM,Rack C - Shelf 1,available,,8
Wired MOUSE,SP-14838,33,7,310.63,7,MOUSE,Drawer #1,available,,6
Industrial NETWORK CARD,SP-17930,48,2,466.81,3,NETWORK CARD,Cabinet 1 - Right,available,,2
27-inch MONITOR,SP-19630,45,3,52.54,2,MONITOR,Warehouse - Row 2,available,,3
Wireless MOUSE,SP-87717,8,9,236.69,2,MOUSE,Rack C - Shelf 2,faulty,,4
Pro SSD,SP-68865,32,5,356.18,9,SSD,Rack B - Shelf 2,faulty,,7
Industrial HDD,SP-73039,12,9,31.38,8,HDD,Cabinet 2 - Top,available,,4
Industrial SATA CABLE,SP-11476,29,10,283.81,6,SATA CABLE,Cabinet 2 - Top,in_used,4,7
Pro HEATSINK,SP-98752,49,7,98.47,10,HEATSINK,Rack A - Shelf 3,available,,5
Cat6 5m CABLE,SP-23294,12,10,337.61,9,CABLE,Cabinet 1 - Right,available,,4
Premium CABLE TRACER,SP-12931,10,6,92.08,1,CABLE TRACER,Storage Closet A,in_used,4,9
Standard HEATSINK,SP-51764,11,9,378.03,4,HEATSINK,Drawer #3,available,,2
Standard POWER CABLE,SP-42658,0,7,273.08,1,POWER CABLE,Rack A - Shelf 3,available,,10
120mm FAN,SP-87023,5,8,496.59,5,FAN,Rack C - Shelf 1,available,,6
Pro CPU,SP-46613,11,1,192.77,6,CPU,Rack B - Shelf 1,available,,7
650W PSU,SP-52344,26,3,13.28,3,PSU,Server Room - Rack 02,available,,2
24-inch MONITOR,SP-27690,10,5,157.83,10,MONITOR,Server Room - Rack 01,in_used,2,3
Pass-through RJ45,SP-50258,36,1,310.92,7,RJ45,Rack B - Shelf 1,available,,2
DDR4 8GB RAM,SP-51726,40,9,125.15,8,RAM,Rack B - Shelf 2,in_used,2,5
Standard HDD,SP-71567,35,3,395.24,8,HDD,Rack B - Shelf 1,available,,3
Premium SSD,SP-45451,3,10,293.32,3,SSD,Rack B - Shelf 1,faulty,,3
Shielded RJ45,SP-98736,14,6,277.63,6,RJ45,Drawer #3,available,,4
Fiber 5m CABLE,SP-26814,18,1,247.25,9,CABLE,Rack B - Shelf 1,available,,1
Standard CPU,SP-53513,24,7,22.16,1,CPU,Storage Closet A,in_used,14,2
Pro CABLE TRACER,SP-32604,1,5,353.37,7,CABLE TRACER,Server Room - Rack 01,available,,8
22-inch MONITOR,SP-88002,37,7,388.99,10,MONITOR,Rack C - Shelf 1,available,,1
DDR4 8GB RAM,SP-37479,22,4,51.78,6,RAM,Cabinet 2 - Bottom,faulty,,2
Premium GPU,SP-18757,2,6,297.44,7,GPU,Rack C - Shelf 1,available,,1
Shielded RJ45,SP-23425,22,2,452.83,3,RJ45,Warehouse - Row 1,available,,1
Gaming MOUSE,SP-39325,28,9,187.23,7,MOUSE,Cabinet 2 - Bottom,available,,3
Wired MOUSE,SP-31289,48,6,232.48,1,MOUSE,Workshop Bench,available,,9
Cat6 3m CABLE,SP-91856,13,2,317.99,3,CABLE,Rack C - Shelf 1,in_used,4,3
10g THERMAL PASTE,SP-30556,37,2,22.44,10,THERMAL PASTE,Workshop Bench,available,,7
Unshielded RJ45,SP-35098,47,8,357.23,1,RJ45,Rack B - Shelf 1,faulty,,2
Industrial CABLE TRACER,SP-49392,0,5,468.68,4,CABLE TRACER,Warehouse - Row 2,in_used,19,3
Standard HDMI CABLE,SP-13408,10,10,70.53,10,HDMI CABLE,Warehouse - Row 1,in_used,16,8
Industrial MOTHERBOARD,SP-10341,13,6,159.95,6,MOTHERBOARD,Cabinet 1 - Left,in_used,5,9
Premium USB HUB,SP-98376,29,4,139.36,4,USB HUB,Cabinet 2 - Bottom,available,,7
Wireless MOUSE,SP-78420,16,10,27.67,3,MOUSE,Rack A - Shelf 3,faulty,,1
Membrane KEYBOARD,SP-56391,11,7,358.33,10,KEYBOARD,Workshop Bench,available,,6
Pro HEATSINK,SP-13548,44,2,367.88,2,HEATSINK,Rack C - Shelf 1,faulty,,10
1TB SSD STORAGE,SP-30393,43,10,67.49,6,STORAGE,Rack B - Shelf 1,available,,5
750W PSU,SP-12205,18,1,129.65,2,PSU,Rack C - Shelf 1,available,,8
Pro CPU,SP-57846,18,1,93.07,9,CPU,Server Room - Rack 02,available,,4
80mm FAN,SP-19481,35,7,8.73,4,FAN,Rack B - Shelf 2,available,,3
Pro CPU,SP-94771,4,6,403.46,9,CPU,Warehouse - Row 1,available,,2
Premium GPU,SP-25945,0,4,496.26,7,GPU,Rack B - Shelf 1,available,,1
DDR5 16GB RAM,SP-59384,4,5,347.55,9,RAM,Rack C - Shelf 1,faulty,,6
Cat5e 2m CABLE,SP-71224,17,8,194.63,7,CABLE,Cabinet 1 - Left,in_used,6,3
Industrial CPU,SP-81486,9,1,311.21,10,CPU,Rack B - Shelf 1,available,,1
Industrial CPU,SP-87237,16,2,52.63,5,CPU,Rack B - Shelf 1,in_used,21,5
Premium NETWORK CARD,SP-28787,41,6,400.88,10,NETWORK CARD,Cabinet 1 - Left,in_used,20,8
Fiber 5m CABLE,SP-58605,20,8,412.7,5,CABLE,Cabinet 2 - Bottom,in_used,13,10
Premium CABLE TRACER,SP-68190,0,1,226.29,3,CABLE TRACER,Rack A - Shelf 3,faulty,,3
Industrial GPU,SP-18013,29,2,218.29,5,GPU,Storage Closet A,available,,3
Industrial M.2 SSD,SP-50028,30,6,305.77,10,M.2 SSD,Warehouse - Row 2,available,,6
Wireless MOUSE,SP-30540,44,1,36.72,3,MOUSE,Rack C - Shelf 1,in_used,17,1
Mechanical KEYBOARD,SP-69308,38,3,155.57,1,KEYBOARD,Drawer #3,available,,4
5g THERMAL PASTE,SP-98911,50,8,403.66,9,THERMAL PASTE,Cabinet 2 - Bottom,faulty,,1
Standard MOTHERBOARD,SP-59090,41,6,370.73,7,MOTHERBOARD,Rack A - Shelf 2,in_used,9,10
Standard M.2 SSD,SP-47173,27,2,309.64,10,M.2 SSD,Cabinet 1 - Right,available,,4
Industrial M.2 SSD,SP-35122,27,4,390.66,8,M.2 SSD,Warehouse - Row 1,available,,4
Premium HEATSINK,SP-88488,49,5,25.43,2,HEATSINK,Rack B - Shelf 1,in_used,15,4
Standard HEATSINK,SP-18258,49,1,30.57,1,HEATSINK,Drawer #3,available,,4
Standard SATA CABLE,SP-94097,7,3,418.16,2,SATA CABLE,Cabinet 2 - Top,in_used,13,4
Wireless MOUSE,SP-56718,22,6,185.1,3,MOUSE,Rack A - Shelf 1,available,,5
512GB SSD STORAGE,SP-11537,21,7,364.14,8,STORAGE,Drawer #2,in_used,19,7
22-inch MONITOR,SP-17990,25,3,348.3,7,MONITOR,Drawer #2,faulty,,6
Premium NETWORK CARD,SP-16886,4,8,231.23,3,NETWORK CARD,Server Room - Rack 01,faulty,,9
Premium MOTHERBOARD,SP-18587,32,2,91.31,4,MOTHERBOARD,Cabinet 1 - Left,available,,4
4TB HDD STORAGE,SP-12678,27,5,73.09,10,STORAGE,Rack A - Shelf 2,faulty,,9
Fiber 5m CABLE,SP-35308,4,7,230.62,2,CABLE,Server Room - Rack 02,available,,8
Pass-through RJ45,SP-73116,39,4,206.18,2,RJ45,Rack C - Shelf 2,available,,9
Premium M.2 SSD,SP-14973,21,10,174.14,6,M.2 SSD,Drawer #3,faulty,,1
Wired MOUSE,SP-66940,12,6,471.15,1,MOUSE,Rack B - Shelf 2,in_used,16,3
Pro M.2 SSD,SP-64441,45,1,294.89,2,M.2 SSD,Cabinet 1 - Right,in_used,8,3
Unshielded RJ45,SP-94080,50,1,130.19,1,RJ45,Cabinet 2 - Bottom,faulty,,7
Wireless MOUSE,SP-24924,33,7,25.47,10,MOUSE,Cabinet 1 - Right,in_used,16,10
Fiber 5m CABLE,SP-29066,29,1,483.18,8,CABLE,Server Room - Rack 01,in_used,12,5
Industrial NETWORK CARD,SP-49067,26,2,70.43,3,NETWORK CARD,Drawer #1,faulty,,1
Industrial HEATSINK,SP-57670,11,2,496.34,6,HEATSINK,Cabinet 2 - Top,faulty,,10
120mm FAN,SP-53052,6,2,391.65,4,FAN,Rack A - Shelf 1,available,,7
Industrial DDR4 RAM,SP-42902,4,7,315.12,10,DDR4 RAM,Rack B - Shelf 2,available,,1
Premium GPU,SP-90427,47,7,461.22,8,GPU,Rack A - Shelf 2,faulty,,10
650W PSU,SP-74486,8,6,294.24,10,PSU,Cabinet 1 - Left,faulty,,2
Cat6 3m CABLE,SP-36151,39,7,140.24,6,CABLE,Workshop Bench,in_used,6,6
Standard MOTHERBOARD,SP-37796,17,1,260.68,4,MOTHERBOARD,Rack A - Shelf 3,faulty,,2
Industrial CABLE TRACER,SP-46823,27,6,225.75,8,CABLE TRACER,Rack B - Shelf 2,available,,4
Shielded RJ45,SP-90408,36,10,459.59,8,RJ45,Rack B - Shelf 1,available,,7
2TB HDD STORAGE,SP-16634,17,3,489.18,8,STORAGE,Rack A - Shelf 1,faulty,,2
Pro USB HUB,SP-80504,45,6,24.2,4,USB HUB,Drawer #2,available,,9
140mm FAN,SP-65005,16,3,317.17,10,FAN,Cabinet 1 - Left,available,,3
Industrial SATA CABLE,SP-29560,33,8,145.02,5,SATA CABLE,Server Room - Rack 02,in_used,2,5
Pro MOTHERBOARD,SP-58167,8,5,8.3,1,MOTHERBOARD,Rack A - Shelf 1,in_used,4,10
Standard HDD,SP-34355,28,10,228.71,3,HDD,Storage Closet A,available,,9
Premium HEATSINK,SP-34642,10,5,404.11,2,HEATSINK,Rack B - Shelf 1,faulty,,4
Standard USB HUB,SP-24758,44,4,297.52,9,USB HUB,Rack B - Shelf 1,in_used,6,8
Mechanical KEYBOARD,SP-68012,35,4,494.07,3,KEYBOARD,Drawer #2,in_used,12,3
Wireless MOUSE,SP-59379,47,5,55.5,5,MOUSE,Rack A - Shelf 3,faulty,,2
Industrial CABLE TRACER,SP-30882,42,5,383.74,1,CABLE TRACER,Rack B - Shelf 2,available,,6
Pro POWER CABLE,SP-28354,47,1,290.98,3,POWER CABLE,Cabinet 1 - Left,faulty,,7
Shielded RJ45,SP-70203,9,1,390.11,4,RJ45,Storage Closet A,in_used,10,5
Pro M.2 SSD,SP-15848,19,4,213.67,4,M.2 SSD,Rack A - Shelf 3,faulty,,8
512GB SSD STORAGE,SP-26569,19,9,67.71,7,STORAGE,Warehouse - Row 1,faulty,,4
Industrial POWER CABLE,SP-82787,24,4,290.32,4,POWER CABLE,Workshop Bench,in_used,2,10
Standard CPU,SP-74607,18,6,319.8,8,CPU,Cabinet 2 - Top,available,,9
Premium SSD,SP-27161,37,1,333.15,2,SSD,Warehouse - Row 2,faulty,,9
Pro DDR4 RAM,SP-20902,26,4,480.18,9,DDR4 RAM,Rack B - Shelf 1,in_used,17,5
Pro HDMI CABLE,SP-95388,20,4,278.65,7,HDMI CABLE,Server Room - Rack 02,available,,8
Wireless KEYBOARD,SP-20345,9,5,319.88,4,KEYBOARD,Rack C - Shelf 2,available,,9
Premium CPU,SP-45390,48,2,95.58,10,CPU,Rack A - Shelf 2,available,,9
Premium HEATSINK,SP-90921,42,3,141.1,5,HEATSINK,Drawer #1,available,,10
Industrial SATA CABLE,SP-51326,7,2,289.45,4,SATA CABLE,Drawer #2,available,,5
Mechanical KEYBOARD,SP-92458,32,9,26.05,8,KEYBOARD,Storage Closet A,available,,5
Premium USB HUB,SP-78676,32,10,413.23,5,USB HUB,Server Room - Rack 02,in_used,21,4
Standard SATA CABLE,SP-43978,30,7,222.76,10,SATA CABLE,Rack C - Shelf 2,in_used,2,3
Standard NETWORK CARD,SP-93741,20,7,424.86,6,NETWORK CARD,Server Room - Rack 02,available,,8
750W PSU,SP-51644,36,9,326.69,6,PSU,Cabinet 1 - Left,available,,10
Gaming MOUSE,SP-72135,2,2,379.78,1,MOUSE,Drawer #2,available,,10
Wireless MOUSE,SP-97945,11,8,311.2,2,MOUSE,Warehouse - Row 2,available,,7
Standard GPU,SP-52620,29,4,423.4,3,GPU,Rack A - Shelf 1,available,,6
Pro GPU,SP-84119,31,9,317.37,1,GPU,Warehouse - Row 2,available,,3
Pro HDD,SP-92328,24,8,57.16,6,HDD,Server Room - Rack 02,faulty,,5
Pro HDD,SP-70521,37,6,163.99,1,HDD,Warehouse - Row 1,faulty,,10
Industrial MOTHERBOARD,SP-68734,22,1,157.64,10,MOTHERBOARD,Cabinet 1 - Left,faulty,,10
Premium CPU,SP-68775,49,2,252.25,2,CPU,Cabinet 1 - Right,faulty,,10
Standard HDD,SP-72815,50,1,433.75,8,HDD,Cabinet 2 - Bottom,in_used,16,6
Pro USB HUB,SP-25206,15,3,188.78,5,USB HUB,Rack C - Shelf 1,faulty,,4
140mm FAN,SP-83384,30,3,382.98,3,FAN,Server Room - Rack 01,available,,3
Standard SSD,SP-31030,17,1,162.9,9,SSD,Storage Closet A,available,,9
Gaming MOUSE,SP-15832,36,10,382.18,8,MOUSE,Rack B - Shelf 1,available,,4
750W PSU,SP-48280,48,4,150.91,2,PSU,Server Room - Rack 02,available,,1
Pro DDR5 RAM,SP-44974,40,6,148.51,6,DDR5 RAM,Warehouse - Row 1,faulty,,5
Pro GPU,SP-71451,34,5,305.16,6,GPU,Rack B - Shelf 1,available,,1
Standard USB HUB,SP-30449,18,8,163.5,9,USB HUB,Cabinet 2 - Bottom,in_used,20,7
Premium DDR4 RAM,SP-50989,2,10,124.63,6,DDR4 RAM,Rack B - Shelf 1,available,,3
Pass-through RJ45,SP-60082,31,1,116.27,7,RJ45,Server Room - Rack 02,in_used,15,2
Standard CPU,SP-30186,0,8,440.39,9,CPU,Storage Closet A,available,,7
Premium SATA CABLE,SP-70156,45,8,407.06,2,SATA CABLE,Cabinet 2 - Bottom,faulty,,4
Standard HDD,SP-77116,25,2,58.43,7,HDD,Cabinet 2 - Bottom,available,,3
10g THERMAL PASTE,SP-58551,27,7,246.96,7,THERMAL PASTE,Drawer #2,in_used,20,4
Premium HDMI CABLE,SP-84086,47,6,231.72,4,HDMI CABLE,Rack A - Shelf 1,available,,1
Premium DDR5 RAM,SP-28909,33,4,144.14,8,DDR5 RAM,Rack B - Shelf 1,available,,6
Cat6 5m CABLE,SP-65027,50,9,58.08,7,CABLE,Rack B - Shelf 2,in_used,19,3
Industrial HEATSINK,SP-13631,48,9,163.11,10,HEATSINK,Drawer #1,available,,2
Premium GPU,SP-59321,11,3,275.27,4,GPU,Rack A - Shelf 2,available,,10
Standard USB HUB,SP-23163,0,6,375.75,10,USB HUB,Drawer #2,available,,6
Premium MOTHERBOARD,SP-99557,29,4,84.69,5,MOTHERBOARD,Rack B - Shelf 1,available,,4
650W PSU,SP-30419,50,6,464.03,3,PSU,Warehouse - Row 1,available,,9
Industrial SATA CABLE,SP-77774,48,5,263.94,6,SATA CABLE,Rack A - Shelf 3,in_used,15,4
4TB HDD STORAGE,SP-13215,34,5,56.01,3,STORAGE,Drawer #3,faulty,,10
Industrial USB HUB,SP-66461,28,10,273.33,6,USB HUB,Drawer #3,faulty,,10
Standard NETWORK CARD,SP-43715,17,6,265.21,4,NETWORK CARD,Storage Closet A,available,,5
Pro DDR5 RAM,SP-75453,42,10,41.63,5,DDR5 RAM,Drawer #2,available,,1
Standard DDR5 RAM,SP-75492,26,1,398.61,3,DDR5 RAM,Storage Closet A,available,,1
Industrial M.2 SSD,SP-41632,13,2,384.09,1,M.2 SSD,Drawer #3,available,,9
10g THERMAL PASTE,SP-88142,0,2,246.73,10,THERMAL PASTE,Drawer #2,in_used,5,5
140mm FAN,SP-94074,21,6,459.21,5,FAN,Storage Closet A,available,,1
140mm FAN,SP-50189,22,2,351.61,10,FAN,Server Room - Rack 01,available,,9
Pro NETWORK CARD,SP-14484,15,8,25.23,3,NETWORK CARD,Rack C - Shelf 1,available,,7
Standard NETWORK CARD,SP-97503,43,7,325.79,10,NETWORK CARD,Server Room - Rack 01,available,,6
Industrial HDD,SP-25853,9,5,401.82,4,HDD,Rack A - Shelf 1,available,,8
80mm FAN,SP-41728,11,10,232.25,9,FAN,Drawer #1,available,,5
Premium SATA CABLE,SP-96165,30,7,293.42,5,SATA CABLE,Drawer #3,available,,6
Wireless KEYBOARD,SP-85129,49,3,42.87,2,KEYBOARD,Server Room - Rack 02,available,,9
140mm FAN,SP-52917,43,9,125.12,9,FAN,Server Room - Rack 01,available,,1
Gaming MOUSE,SP-78406,9,6,477.01,5,MOUSE,Server Room - Rack 02,faulty,,10
Industrial SSD,SP-74364,8,2,198.62,10,SSD,Server Room - Rack 02,in_used,14,8
Wired MOUSE,SP-86888,37,3,472.35,9,MOUSE,Cabinet 1 - Left,available,,1
Standard SATA CABLE,SP-34485,49,7,299.87,9,SATA CABLE,Workshop Bench,faulty,,6
Standard MOTHERBOARD,SP-32426,17,10,462.42,2,MOTHERBOARD,Rack A - Shelf 3,available,,9
750W PSU,SP-20665,34,7,453.99,9,PSU,Cabinet 1 - Left,faulty,,1
512GB SSD STORAGE,SP-95718,6,2,459.47,10,STORAGE,Storage Closet A,faulty,,3
Wired MOUSE,SP-26610,24,9,411.54,8,MOUSE,Warehouse - Row 2,faulty,,6
Industrial POWER CABLE,SP-10322,42,7,75.27,1,POWER CABLE,Rack A - Shelf 3,faulty,,8
Industrial CABLE TRACER,SP-40863,3,6,372.9,6,CABLE TRACER,Drawer #2,available,,3
Pro SSD,SP-10379,25,9,165.08,9,SSD,Drawer #1,faulty,,3
Premium CPU,SP-78485,16,3,281.02,9,CPU,Drawer #1,available,,9
Premium HDD,SP-91650,19,8,400.59,8,HDD,Drawer #3,faulty,,4
Standard CABLE TRACER,SP-99230,23,5,353.09,1,CABLE TRACER,Warehouse - Row 1,available,,8
Premium SSD,SP-28710,16,10,308.31,8,SSD,Warehouse - Row 2,available,,6
140mm FAN,SP-10833,32,5,428.13,5,FAN,Rack C - Shelf 1,available,,7
Premium NETWORK CARD,SP-54207,40,4,496.83,8,NETWORK CARD,Rack B - Shelf 1,available,,3
10g THERMAL PASTE,SP-98393,42,3,468.22,5,THERMAL PASTE,Drawer #3,available,,1
Premium DDR4 RAM,SP-28807,13,4,433.86,4,DDR4 RAM,Server Room - Rack 01,in_used,4,5
3g THERMAL PASTE,SP-45697,2,6,127.6,1,THERMAL PASTE,Rack A - Shelf 2,in_used,8,1
3g THERMAL PASTE,SP-15774,2,6,394.35,7,THERMAL PASTE,Drawer #1,in_used,13,1
Pro HEATSINK,SP-41465,42,7,68.04,8,HEATSINK,Rack A - Shelf 1,available,,9
5g THERMAL PASTE,SP-38532,45,7,342.89,2,THERMAL PASTE,Rack B - Shelf 2,in_used,17,8
Pro DDR5 RAM,SP-42563,25,2,203.77,2,DDR5 RAM,Workshop Bench,available,,9
Industrial M.2 SSD,SP-32633,44,4,477.78,4,M.2 SSD,Rack A - Shelf 2,available,,5
Standard SSD,SP-90783,36,1,384.48,9,SSD,Cabinet 1 - Left,available,,3
Standard HDMI CABLE,SP-63457,10,5,382.21,9,HDMI CABLE,Drawer #3,available,,5
Standard HDMI CABLE,SP-19827,5,7,150.84,1,HDMI CABLE,Workshop Bench,in_used,4,10
Pro NETWORK CARD,SP-77159,26,2,98.61,3,NETWORK CARD,Rack B - Shelf 2,available,,4
2TB HDD STORAGE,SP-60383,13,6,24.02,5,STORAGE,Storage Closet A,in_used,14,6
Membrane KEYBOARD,SP-36274,0,8,333.54,10,KEYBOARD,Cabinet 2 - Top,faulty,,9
Standard SATA CABLE,SP-63329,31,9,335.0,8,SATA CABLE,Rack C - Shelf 2,faulty,,5
Premium M.2 SSD,SP-42122,33,1,213.59,9,M.2 SSD,Server Room - Rack 01,in_used,10,5
512GB SSD STORAGE,SP-34442,44,3,392.8,6,STORAGE,Rack B - Shelf 2,available,,9
Wireless KEYBOARD,SP-63083,24,3,40.85,4,KEYBOARD,Rack B - Shelf 1,available,,5
Industrial HEATSINK,SP-99891,24,1,89.38,2,HEATSINK,Rack C - Shelf 1,available,,5
80mm FAN,SP-67643,26,10,437.87,4,FAN,Rack C - Shelf 1,in_used,4,3
DDR4 32GB RAM,SP-70967,33,4,398.1,9,RAM,Rack A - Shelf 1,in_used,4,6
Premium DDR5 RAM,SP-98346,46,2,16.06,6,DDR5 RAM,Rack A - Shelf 3,faulty,,7
Pro HEATSINK,SP-18712,7,5,216.11,8,HEATSINK,Storage Closet A,available,,4
80mm FAN,SP-75791,16,2,467.64,5,FAN,Rack A - Shelf 2,faulty,,3
140mm FAN,SP-35586,47,10,10.65,5,FAN,Drawer #1,available,,7
Standard DDR4 RAM,SP-73560,41,1,448.31,3,DDR4 RAM,Rack B - Shelf 1,available,,2
Premium M.2 SSD,SP-83288,49,10,456.76,9,M.2 SSD,Drawer #2,available,,4
1TB SSD STORAGE,SP-48627,28,6,155.43,7,STORAGE,Warehouse - Row 1,available,,6
Pro SSD,SP-36877,49,5,480.51,1,SSD,Rack A - Shelf 1,available,,9
750W PSU,SP-25086,37,8,333.93,8,PSU,Rack A - Shelf 3,available,,4
Premium POWER CABLE,SP-19791,11,4,286.47,8,POWER CABLE,Warehouse - Row 2,available,,8
850W PSU,SP-72902,14,8,251.29,1,PSU,Rack B - Shelf 2,in_used,11,2
Pro HEATSINK,SP-26531,0,8,484.34,9,HEATSINK,Rack C - Shelf 2,in_used,17,4
Pro DDR5 RAM,SP-31188,21,9,261.85,7,DDR5 RAM,Workshop Bench,in_used,16,4
Pro USB HUB,SP-90699,9,2,429.48,7,USB HUB,Workshop Bench,in_used,21,4
1TB SSD STORAGE,SP-38394,44,7,259.81,7,STORAGE,Rack A - Shelf 3,available,,1
Pro CPU,SP-51899,45,3,190.62,1,CPU,Drawer #1,available,,3
Membrane KEYBOARD,SP-69934,3,10,312.09,2,KEYBOARD,Rack A - Shelf 1,available,,6
Pro NETWORK CARD,SP-28190,42,4,391.49,10,NETWORK CARD,Rack A - Shelf 2,faulty,,6
Wireless KEYBOARD,SP-63257,29,2,371.64,7,KEYBOARD,Rack B - Shelf 2,available,,7
Premium CABLE TRACER,SP-37229,49,2,120.54,9,CABLE TRACER,Cabinet 1 - Right,in_used,4,6
Premium SATA CABLE,SP-39675,20,10,274.98,9,SATA CABLE,Cabinet 2 - Bottom,available,,3
Industrial DDR4 RAM,SP-99748,2,1,210.83,7,DDR4 RAM,Cabinet 1 - Left,faulty,,5
Premium POWER CABLE,SP-21606,49,7,297.46,4,POWER CABLE,Drawer #1,faulty,,5
Cat6 3m CABLE,SP-86409,17,6,50.47,6,CABLE,Server Room - Rack 01,available,,7
Pro POWER CABLE,SP-28793,2,6,5.9,8,POWER CABLE,Warehouse - Row 1,available,,9
Premium NETWORK CARD,SP-53977,20,9,153.35,2,NETWORK CARD,Rack A - Shelf 1,available,,10
3g THERMAL PASTE,SP-73588,32,5,243.92,7,THERMAL PASTE,Rack A - Shelf 2,available,,2
Wireless KEYBOARD,SP-82595,27,4,103.51,10,KEYBOARD,Cabinet 2 - Top,available,,10
Industrial HDD,SP-18741,5,9,8.75,5,HDD,Cabinet 2 - Bottom,available,,10
Pro HDMI CABLE,SP-16699,3,7,92.05,3,HDMI CABLE,Cabinet 2 - Bottom,available,,9
Standard NETWORK CARD,SP-49213,3,7,125.04,1,NETWORK CARD,Rack A - Shelf 3,in_used,6,7
Pro DDR4 RAM,SP-27538,33,4,221.29,3,DDR4 RAM,Warehouse - Row 1,available,,9
120mm FAN,SP-65709,50,3,284.16,10,FAN,Server Room - Rack 01,available,,4
Standard GPU,SP-55723,13,3,475.17,4,GPU,Rack C - Shelf 1,available,,3
Industrial HDMI CABLE,SP-83707,2,4,27.0,8,HDMI CABLE,Server Room - Rack 02,available,,2
Mechanical KEYBOARD,SP-17435,36,7,343.77,6,KEYBOARD,Cabinet 2 - Top,in_used,17,6
Wireless MOUSE,SP-15407,12,4,228.92,8,MOUSE,Warehouse - Row 1,available,,10
Shielded RJ45,SP-77489,2,3,470.25,2,RJ45,Cabinet 2 - Top,available,,4
Premium POWER CABLE,SP-24178,33,3,226.5,8,POWER CABLE,Server Room - Rack 01,available,,3
Premium M.2 SSD,SP-76709,9,5,84.13,2,M.2 SSD,Rack B - Shelf 2,faulty,,10
Premium NETWORK CARD,SP-70897,29,4,494.19,7,NETWORK CARD,Drawer #1,available,,4
Standard USB HUB,SP-92082,31,2,276.76,7,USB HUB,Drawer #1,available,,3
Cat6 3m CABLE,SP-23572,6,9,90.5,6,CABLE,Rack A - Shelf 3,in_used,12,10
